2020-09-10 02:16:13,370 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: fan
2020-09-10 02:16:13,379 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 02:17:39,201 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 03:35:46,552 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 27/100:train_score:9.750285, valid_score:9.806097
2020-09-10 03:36:19,547 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 28/100:train_score:9.745308, valid_score:9.803519
2020-09-10 03:36:51,841 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 29/100:train_score:9.741853, valid_score:9.834047
2020-09-10 03:37:24,509 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 30/100:train_score:9.736751, valid_score:9.775382
2020-09-10 03:37:57,332 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 31/100:train_score:9.733586, valid_score:9.791546
2020-09-10 03:38:29,192 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 32/100:train_score:9.729328, valid_score:9.772041
2020-09-10 03:39:01,156 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 33/100:train_score:9.728114, valid_score:9.831108
2020-09-10 03:39:33,910 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 34/100:train_score:9.723244, valid_score:9.805865
2020-09-10 03:40:06,527 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 35/100:train_score:9.722978, valid_score:9.795171
2020-09-10 03:40:39,456 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 36/100:train_score:9.716786, valid_score:9.799931
2020-09-10 03:41:11,587 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 37/100:train_score:9.714846, valid_score:9.784732
2020-09-10 03:41:44,422 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 38/100:train_score:9.712603, valid_score:9.780106
2020-09-10 03:42:17,115 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 39/100:train_score:9.709531, valid_score:9.759138
2020-09-10 03:42:49,918 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 40/100:train_score:9.708338, valid_score:9.768010
2020-09-10 03:43:22,733 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 41/100:train_score:9.705853, valid_score:9.772654
2020-09-10 03:43:54,768 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 42/100:train_score:9.702538, valid_score:9.773590
2020-09-10 03:44:27,067 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 43/100:train_score:9.700114, valid_score:9.766303
2020-09-10 03:44:59,931 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 44/100:train_score:9.698166, valid_score:9.763007
2020-09-10 03:45:32,738 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 45/100:train_score:9.697399, valid_score:9.752396
2020-09-10 03:46:04,830 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 46/100:train_score:9.694751, valid_score:9.783015
2020-09-10 03:46:37,729 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 47/100:train_score:9.692411, valid_score:9.765289
2020-09-10 03:47:10,517 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 48/100:train_score:9.691091, valid_score:9.786570
2020-09-10 03:47:43,258 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 49/100:train_score:9.690796, valid_score:9.750392
